Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
D1,22/01/2023,M'gladbach,Leverkusen,2,3,0,2,15,13,8,5,3,2,0,0,A
D1,24/01/2023,Schalke 04,RB Leipzig,1,6,0,4,9,21,1,14,1,1,0,0,A
D1,24/01/2023,Bayern Munich,FC Koln,1,1,0,1,22,2,7,1,0,1,0,0,D
D1,24/01/2023,Hertha,Wolfsburg,0,5,0,3,8,15,2,7,2,0,0,0,A
D1,24/01/2023,Hoffenheim,Stuttgart,2,2,1,1,13,8,5,4,1,3,0,1,D
D1,25/01/2023,Mainz,Dortmund,1,2,1,1,12,12,4,6,2,0,0,0,A
D1,25/01/2023,Augsburg,M'gladbach,1,0,0,0,14,7,4,2,1,2,0,0,H
D1,25/01/2023,Freiburg,Ein Frankfurt,1,1,0,1,12,4,5,2,3,3,0,0,D
D1,25/01/2023,Leverkusen,Bochum,2,0,1,0,11,9,4,2,2,4,0,0,H
D1,25/01/2023,Werder Bremen,Union Berlin,1,2,1,1,8,11,3,5,0,0,0,0,A
D1,27/01/2023,RB Leipzig,Stuttgart,2,1,1,0,9,10,4,3,0,0,0,0,H
D1,28/01/2023,Freiburg,Augsburg,3,1,2,1,15,16,9,4,3,3,0,0,H
D1,28/01/2023,Hertha,Union Berlin,0,2,0,1,10,7,3,3,1,2,0,0,A
D1,28/01/2023,Hoffenheim,M'gladbach,1,4,0,2,15,10,5,5,2,1,0,0,A
D1,28/01/2023,Mainz,Bochum,5,2,3,0,14,14,7,4,0,1,0,0,H
D1,28/01/2023,Werder Bremen,Wolfsburg,2,1,1,0,14,7,5,3,3,3,0,0,H
D1,28/01/2023,Bayern Munich,Ein Frankfurt,1,1,1,0,14,7,6,1,3,1,0,0,D
D1,29/01/2023,Schalke 04,FC Koln,0,0,0,0,15,7,2,0,3,4,0,0,D
D1,29/01/2023,Leverkusen,Dortmund,0,2,0,1,20,6,7,2,2,4,0,0,A
D1,03/02/2023,Augsburg,Leverkusen,1,0,0,0,10,12,5,4,3,2,0,0,H
D1,04/02/2023,Bochum,Hoffenheim,5,2,3,0,17,10,11,4,2,3,0,0,H
D1,04/02/2023,Dortmund,Freiburg,5,1,1,1,24,6,8,3,3,4,0,1,H
D1,04/02/2023,Ein Frankfurt,Hertha,3,0,2,0,10,13,4,3,1,2,0,0,H
D1,04/02/2023,FC Koln,RB Leipzig,0,0,0,0,9,7,0,2,3,4,0,0,D
D1,04/02/2023,Union Berlin,Mainz,2,1,1,0,9,9,5,2,1,1,0,0,H
D1,04/02/2023,M'gladbach,Schalke 04,0,0,0,0,17,18,4,5,2,3,0,0,D
D1,05/02/2023,Stuttgart,Werder Bremen,0,2,0,0,16,9,5,4,2,5,0,0,A
D1,05/02/2023,Wolfsburg,Bayern Munich,2,4,1,3,19,9,5,4,2,6,0,1,A
D1,10/02/2023,Schalke 04,Wolfsburg,0,0,0,0,17,8,5,2,1,4,0,0,D
D1,11/02/2023,Bayern Munich,Bochum,3,0,1,0,25,7,12,1,1,1,0,0,H
D1,11/02/2023,Freiburg,Stuttgart,2,1,0,1,9,14,5,3,3,3,0,0,H
D1,11/02/2023,Hoffenheim,Leverkusen,1,3,0,1,11,12,6,5,3,1,0,0,A
D1,11/02/2023,Mainz,Augsburg,3,1,2,1,13,11,7,3,1,1,0,0,H
D1,11/02/2023,Werder Bremen,Dortmund,0,2,0,0,8,17,3,9,1,0,0,0,A
D1,11/02/2023,RB Leipzig,Union Berlin,1,2,1,0,9,6,1,5,4,4,0,0,A
D1,12/02/2023,Hertha,M'gladbach,4,1,1,1,17,7,7,3,1,1,0,0,H
D1,12/02/2023,FC Koln,Ein Frankfurt,3,0,0,0,9,7,4,1,3,2,0,0,H
D1,17/02/2023,Augsburg,Hoffenheim,1,0,0,0,16,8,3,2,3,3,0,0,H
D1,18/02/2023,Bochum,Freiburg,0,2,0,1,15,15,6,5,4,2,1,0,A
D1,18/02/2023,M'gladbach,Bayern Munich,3,2,1,1,17,13,7,4,0,1,0,1,H
D1,18/02/2023,Stuttgart,FC Koln,3,0,1,0,18,11,7,4,3,4,0,0,H
D1,18/02/2023,Wolfsburg,RB Leipzig,0,3,0,1,7,17,2,5,1,1,0,0,A
