,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
5576,2013-04-17,21201222,Final,1610612741,1610612764,2012,1610612741,95.0,0.474,0.737,0.389,26.0,45.0,1610612764,92.0,0.424,0.765,0.4379999999999999,17.0,37.0,1
5577,2013-04-17,21201223,Final,1610612763,1610612762,2012,1610612763,86.0,0.405,0.7,0.308,22.0,57.0,1610612762,70.0,0.321,0.654,0.273,15.0,47.0,1
5578,2013-04-17,21201224,Final,1610612742,1610612740,2012,1610612742,99.0,0.512,0.818,0.375,24.0,37.0,1610612740,87.0,0.369,0.75,0.364,11.0,58.0,1
5579,2013-04-17,21201225,Final,1610612759,1610612750,2012,1610612759,95.0,0.418,1.0,0.389,20.0,40.0,1610612750,108.0,0.462,0.75,0.414,26.0,45.0,0
5580,2013-04-17,21201226,Final,1610612760,1610612749,2012,1610612760,89.0,0.416,0.857,0.143,16.0,44.0,1610612749,95.0,0.424,0.722,0.37,18.0,53.0,0
5581,2013-04-17,21201227,Final,1610612743,1610612756,2012,1610612743,118.0,0.527,0.8,0.25,28.0,54.0,1610612756,98.0,0.385,0.647,0.28,29.0,47.0,1
5582,2013-04-17,21201228,Final,1610612747,1610612745,2012,1610612747,99.0,0.3670000000000001,0.6759999999999999,0.313,27.0,57.0,1610612745,95.0,0.417,0.708,0.242,21.0,46.0,1
5583,2013-04-17,21201229,Final,1610612758,1610612746,2012,1610612758,108.0,0.449,0.76,0.346,23.0,44.0,1610612746,112.0,0.5,0.667,0.5,25.0,44.0,0
5584,2013-04-17,21201230,Final,1610612757,1610612744,2012,1610612757,88.0,0.4270000000000001,0.857,0.5,18.0,42.0,1610612744,99.0,0.43,0.769,0.429,21.0,52.0,0
5585,2013-04-16,21201213,Final,1610612737,1610612761,2012,1610612737,96.0,0.3979999999999999,0.7390000000000001,0.321,22.0,42.0,1610612761,113.0,0.513,0.852,0.37,24.0,47.0,0
5586,2013-04-16,21201215,Final,1610612746,1610612757,2012,1610612746,93.0,0.4679999999999999,0.8,0.259,30.0,51.0,1610612757,77.0,0.411,0.667,0.3329999999999999,18.0,33.0,1
5587,2013-04-15,21201202,Final,1610612766,1610612752,2012,1610612766,106.0,0.581,0.929,0.389,35.0,37.0,1610612752,95.0,0.43,1.0,0.3779999999999999,27.0,25.0,1
5588,2013-04-15,21201203,Final,1610612753,1610612741,2012,1610612753,84.0,0.419,0.606,0.2,16.0,39.0,1610612741,102.0,0.56,0.6920000000000001,0.529,33.0,35.0,0
5589,2013-04-15,21201204,Final,1610612739,1610612748,2012,1610612739,95.0,0.4529999999999999,0.632,0.385,20.0,38.0,1610612748,96.0,0.5,0.63,0.4639999999999999,25.0,45.0,0
5590,2013-04-15,21201205,Final,1610612751,1610612764,2012,1610612751,106.0,0.467,0.481,0.467,12.0,45.0,1610612764,101.0,0.532,0.75,0.364,24.0,44.0,1
5591,2013-04-15,21201206,Final,1610612765,1610612755,2012,1610612765,109.0,0.494,0.818,0.36,23.0,43.0,1610612755,101.0,0.4479999999999999,0.81,0.273,25.0,39.0,1
5592,2013-04-15,21201207,Final,1610612749,1610612743,2012,1610612749,111.0,0.42,0.652,0.3429999999999999,25.0,44.0,1610612743,112.0,0.435,0.696,0.429,21.0,58.0,0
5593,2013-04-15,21201208,Final,1610612742,1610612763,2012,1610612742,97.0,0.447,0.8,0.474,18.0,36.0,1610612763,103.0,0.475,0.8,0.3329999999999999,24.0,50.0,0
5594,2013-04-15,21201209,Final,1610612760,1610612758,2012,1610612760,104.0,0.457,0.75,0.217,23.0,49.0,1610612758,95.0,0.4370000000000001,0.5710000000000001,0.259,19.0,45.0,1
5595,2013-04-15,21201210,Final,1610612750,1610612762,2012,1610612750,80.0,0.4270000000000001,0.778,0.118,21.0,38.0,1610612762,96.0,0.4679999999999999,0.913,0.3,21.0,41.0,0
5596,2013-04-15,21201211,Final,1610612756,1610612745,2012,1610612756,119.0,0.495,0.7829999999999999,0.304,29.0,44.0,1610612745,112.0,0.467,0.652,0.379,21.0,43.0,1
5597,2013-04-15,21201212,Final,1610612744,1610612759,2012,1610612744,116.0,0.541,0.833,0.45,26.0,53.0,1610612759,106.0,0.4589999999999999,0.615,0.3329999999999999,30.0,39.0,1
5598,2013-04-14,21201194,Final,1610612748,1610612741,2012,1610612748,105.0,0.514,0.659,0.353,23.0,44.0,1610612741,93.0,0.354,0.774,0.423,16.0,45.0,1
5599,2013-04-14,21201195,Final,1610612761,1610612751,2012,1610612761,93.0,0.439,0.7140000000000001,0.4,19.0,48.0,1610612751,87.0,0.405,0.579,0.267,23.0,38.0,1
5600,2013-04-14,21201196,Final,1610612752,1610612754,2012,1610612752,90.0,0.4270000000000001,0.818,0.355,15.0,32.0,1610612754,80.0,0.431,0.615,0.286,20.0,45.0,1
5601,2013-04-14,21201197,Final,1610612755,1610612739,2012,1610612755,91.0,0.442,0.636,0.381,27.0,39.0,1610612739,77.0,0.365,0.667,0.313,22.0,49.0,1
5602,2013-04-14,21201198,Final,1610612743,1610612757,2012,1610612743,118.0,0.531,0.889,0.364,30.0,39.0,1610612757,109.0,0.4629999999999999,0.8079999999999999,0.375,26.0,37.0,1
5603,2013-04-14,21201199,Final,1610612740,1610612742,2012,1610612740,89.0,0.379,0.778,0.409,22.0,47.0,1610612742,107.0,0.523,1.0,0.429,27.0,41.0,0
5604,2013-04-14,21201200,Final,1610612745,1610612758,2012,1610612745,121.0,0.542,0.75,0.481,28.0,46.0,1610612758,100.0,0.39,0.8240000000000001,0.32,24.0,45.0,1
5605,2013-04-14,21201201,Final,1610612747,1610612759,2012,1610612747,91.0,0.365,0.645,0.3329999999999999,18.0,58.0,1610612759,86.0,0.371,0.737,0.3329999999999999,25.0,46.0,1
5606,2013-04-13,21201190,Final,1610612766,1610612749,2012,1610612766,95.0,0.4629999999999999,0.708,0.444,23.0,52.0,1610612749,85.0,0.391,0.667,0.31,23.0,36.0,1
5607,2013-04-13,21201191,Final,1610612753,1610612738,2012,1610612753,88.0,0.422,0.867,0.357,23.0,40.0,1610612738,120.0,0.593,0.737,0.625,27.0,38.0,0
5608,2013-04-13,21201192,Final,1610612763,1610612746,2012,1610612763,87.0,0.41,0.65,0.462,19.0,43.0,1610612746,91.0,0.4629999999999999,0.611,0.375,18.0,45.0,0
5609,2013-04-13,21201193,Final,1610612750,1610612756,2012,1610612750,105.0,0.494,0.895,0.4,19.0,36.0,1610612756,93.0,0.507,0.7140000000000001,0.45,28.0,34.0,1
5610,2013-04-12,21201176,Final,1610612761,1610612741,2012,1610612761,97.0,0.472,0.818,0.25,22.0,38.0,1610612741,88.0,0.442,0.7859999999999999,0.5,22.0,39.0,1
5611,2013-04-12,21201177,Final,1610612764,1610612755,2012,1610612764,86.0,0.414,0.619,0.077,21.0,47.0,1610612755,97.0,0.43,0.909,0.318,29.0,47.0,0
5612,2013-04-12,21201178,Final,1610612754,1610612751,2012,1610612754,109.0,0.5,0.8079999999999999,0.421,25.0,35.0,1610612751,117.0,0.512,0.8079999999999999,0.48,24.0,39.0,0
5613,2013-04-12,21201179,Final,1610612737,1610612749,2012,1610612737,109.0,0.506,0.68,0.3,26.0,46.0,1610612749,104.0,0.413,0.688,0.515,27.0,48.0,1
5614,2013-04-12,21201180,Final,1610612748,1610612738,2012,1610612748,109.0,0.5489999999999999,0.679,0.522,28.0,37.0,1610612738,101.0,0.482,1.0,0.261,15.0,34.0,1
5615,2013-04-12,21201181,Final,1610612765,1610612766,2012,1610612765,113.0,0.518,0.75,0.667,31.0,45.0,1610612766,93.0,0.449,0.8240000000000001,0.375,18.0,33.0,1
5616,2013-04-12,21201182,Final,1610612739,1610612752,2012,1610612739,91.0,0.43,0.708,0.273,17.0,46.0,1610612752,101.0,0.506,0.647,0.357,15.0,44.0,0
5617,2013-04-12,21201183,Final,1610612740,1610612746,2012,1610612740,93.0,0.422,0.531,0.316,21.0,48.0,1610612746,96.0,0.449,0.679,0.2689999999999999,28.0,41.0,0
5618,2013-04-12,21201184,Final,1610612745,1610612763,2012,1610612745,78.0,0.311,0.75,0.344,18.0,51.0,1610612763,82.0,0.349,0.679,0.294,18.0,44.0,0
5619,2013-04-12,21201185,Final,1610612742,1610612743,2012,1610612742,108.0,0.4529999999999999,0.579,0.478,29.0,52.0,1610612743,105.0,0.441,0.7140000000000001,0.3329999999999999,22.0,46.0,1
5620,2013-04-12,21201186,Final,1610612759,1610612758,2012,1610612759,108.0,0.545,0.857,0.353,28.0,41.0,1610612758,101.0,0.4379999999999999,0.8,0.55,26.0,34.0,1
5621,2013-04-12,21201187,Final,1610612762,1610612750,2012,1610612762,107.0,0.583,0.882,0.615,23.0,36.0,1610612750,100.0,0.462,0.952,0.364,21.0,31.0,1
5622,2013-04-12,21201188,Final,1610612757,1610612760,2012,1610612757,90.0,0.409,0.667,0.3,20.0,36.0,1610612760,106.0,0.519,0.81,0.409,16.0,40.0,0
5623,2013-04-12,21201189,Final,1610612747,1610612744,2012,1610612747,118.0,0.515,0.76,0.48,22.0,36.0,1610612744,116.0,0.474,0.813,0.423,25.0,44.0,1
5624,2013-04-11,21201174,Final,1610612741,1610612752,2012,1610612741,118.0,0.4479999999999999,0.8109999999999999,0.37,23.0,53.0,1610612752,111.0,0.4039999999999999,0.773,0.3329999999999999,18.0,52.0,1
