,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR,Gol_Average_Home,Dif_Home,Rojas_Home,Puntos_Home,Goles_Marcados_Home,Gol_Average_Away,Dif_Away,Rojas_Away,Puntos_Away,Goles_Marcados_Away
214,SP1,28/01/2024,Sevilla,Osasuna,1,1,1,0,10,11,5,4,3,0,1,0,D,-0.42857142857142855,-0.17857142857142855,0.14285714285714285,16.0,1.2380952380952381,-0.3,0.06842105263157894,0.15,25.0,1.25
215,SP1,28/01/2024,Ath Madrid,Valencia,2,0,1,0,12,10,8,3,2,0,0,0,H,0.85,0.007894736842105288,0.15,41.0,2.0,0.14285714285714285,0.042857142857142844,0.19047619047619047,32.0,1.2857142857142858
216,SP1,29/01/2024,Getafe,Granada,2,0,2,0,7,16,4,3,2,1,0,0,H,-0.1,-0.04736842105263159,0.35,26.0,1.3,-0.9523809523809523,-0.0023809523809523725,0.14285714285714285,11.0,1.0476190476190477
217,SP1,31/01/2024,Barcelona,Osasuna,1,0,0,0,16,9,4,1,1,2,0,1,H,0.6666666666666666,-0.13333333333333341,0.047619047619047616,44.0,2.0476190476190474,-0.2857142857142857,0.01428571428571429,0.14285714285714285,26.0,1.2380952380952381
218,SP1,31/01/2024,Ath Madrid,Vallecano,2,1,1,1,8,10,3,2,0,3,0,0,H,0.9047619047619048,0.05476190476190479,0.14285714285714285,44.0,2.0,-0.38095238095238093,0.01904761904761909,0.14285714285714285,24.0,0.8571428571428571
219,SP1,01/02/2024,Getafe,Real Madrid,0,2,0,1,10,16,2,9,1,2,0,0,A,0.0,0.1,0.3333333333333333,29.0,1.3333333333333333,1.4761904761904763,-0.023809523809523725,0.09523809523809523,54.0,2.142857142857143
220,SP1,02/02/2024,Ath Bilbao,Mallorca,4,0,2,0,13,6,6,2,0,1,0,0,H,0.7727272727272727,-0.03679653679653683,0.09090909090909091,42.0,1.7272727272727273,-0.3181818181818182,-0.03246753246753248,0.09090909090909091,20.0,0.8636363636363636
221,SP1,03/02/2024,Valencia,Almeria,2,1,2,0,7,15,2,5,4,5,0,0,H,0.045454545454545456,-0.0974025974025974,0.18181818181818182,32.0,1.2272727272727273,-1.2727272727272727,-0.08225108225108224,0.045454545454545456,6.0,0.9545454545454546
222,SP1,03/02/2024,Granada,Las Palmas,1,1,1,0,3,16,1,6,4,3,1,1,D,-1.0,-0.04761904761904767,0.13636363636363635,11.0,1.0,0.13636363636363635,-0.05411255411255411,0.09090909090909091,31.0,1.0
223,SP1,03/02/2024,Alaves,Barcelona,1,3,0,1,13,8,2,5,2,2,0,1,A,-0.22727272727272727,0.15367965367965367,0.045454545454545456,26.0,1.0,0.6818181818181818,0.015151515151515138,0.045454545454545456,47.0,2.0
224,SP1,03/02/2024,Girona,Sociedad,0,0,0,0,11,11,3,2,2,3,0,0,D,1.2272727272727273,-0.010822510822510845,0.045454545454545456,55.0,2.3636363636363638,0.5,-0.023809523809523836,0.045454545454545456,36.0,1.4545454545454546
