Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Khachanov K.,Kuznetsov An.,16.0,34.0,2120.0,1527.0,6.0,3.0,6.0,4.0,6.0,1.0,,,,,3.0,0.0,1.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Cilic M.,Gombos N.,38.0,104.0,1225.0,550.0,6.0,3.0,1.0,6.0,7.0,6.0,7.0,5.0,,,3.0,1.0,1.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Rublev A.,Barrere G.,14.0,93.0,2234.0,647.0,6.0,2.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,1.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Caruso S.,Escobedo E.,100.0,185.0,623.0,284.0,3.0,6.0,6.0,4.0,6.0,3.0,6.0,4.0,,,3.0,1.0,1.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Ruusuvuori E.,Ruud C.,92.0,37.0,648.0,1279.0,4.0,6.0,3.0,6.0,2.0,3.0,,,,,0.0,2.0,0.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Raonic M.,Pospisil V.,18.0,94.0,1950.0,642.0,7.0,6.0,3.0,6.0,6.0,7.0,3.0,6.0,,,1.0,3.0,0.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Nagal S.,Thiem D.,124.0,3.0,448.0,7135.0,3.0,6.0,3.0,6.0,2.0,6.0,,,,,0.0,3.0,0.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Carballes Baena R.,Wolf J.J.,101.0,138.0,614.0,402.0,2.0,6.0,4.0,6.0,3.0,6.0,,,,,0.0,3.0,0.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Fucsovics M.,Dimitrov G.,66.0,20.0,787.0,1885.0,6.0,7.0,7.0,6.0,3.0,6.0,6.0,4.0,6.0,1.0,3.0,2.0,1.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Millman J.,Tiafoe F.,43.0,82.0,1096.0,700.0,6.0,7.0,6.0,3.0,6.0,1.0,3.0,6.0,3.0,6.0,2.0,3.0,0.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Berrettini M.,Humbert U.,8.0,42.0,2940.0,1111.0,6.0,4.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,1.0
