,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,labeled Home,labeled Away,Basket_Average_Home,Dif_Home,Basket_Average_Away,Dif_Away
6564,616,2022-04-19,42100152,Final,1610612763,1610612750,2021,1610612763,124.0,0.478,0.781,0.324,29.0,48.0,1610612750,96.0,0.395,0.893,0.289,16.0,40.0,1,26,13,7.200000000000003,-0.24444444444444002,-3.75,-1.4166666666666714
6563,617,2022-04-19,42100142,Final,1610612756,1610612740,2021,1610612756,114.0,0.5,0.833,0.371,26.0,33.0,1610612740,125.0,0.548,0.8,0.567,32.0,43.0,0,19,3,-10.545454545454547,1.854545454545459,-10.75,-10.083333333333343
6562,618,2022-04-18,42100132,Final,1610612755,1610612761,2021,1610612755,112.0,0.522,0.867,0.467,20.0,41.0,1610612761,97.0,0.427,0.833,0.344,16.0,35.0,1,18,24,-4.200000000000003,0.3555555555555543,2.75,6.416666666666671
6561,619,2022-04-18,42100172,Final,1610612742,1610612762,2021,1610612742,110.0,0.47,0.769,0.468,22.0,31.0,1610612762,104.0,0.463,0.85,0.379,19.0,50.0,1,5,25,-4.25,-0.04999999999999716,11.25,-0.4166666666666572
6560,620,2022-04-18,42100162,Final,1610612744,1610612743,2021,1610612744,126.0,0.548,0.708,0.425,27.0,35.0,1610612743,106.0,0.425,0.905,0.361,20.0,47.0,1,7,6,9.549999999999997,-0.08157894736842763,10.0,4.0
6559,621,2022-04-17,42100101,Final,1610612748,1610612737,2021,1610612748,115.0,0.524,0.611,0.474,35.0,40.0,1610612737,91.0,0.387,0.852,0.278,16.0,38.0,1,11,0,-3.0,0.875,0.0,4.0
6558,622,2022-04-17,42100111,Final,1610612738,1610612751,2021,1610612738,115.0,0.472,0.792,0.364,24.0,43.0,1610612751,114.0,0.538,0.792,0.458,20.0,29.0,1,1,14,8.0,-0.6363636363636402,20.33333333333333,6.833333333333329
6557,623,2022-04-17,42100121,Final,1610612749,1610612741,2021,1610612749,93.0,0.405,0.652,0.263,19.0,58.0,1610612741,86.0,0.323,0.895,0.189,17.0,53.0,1,12,4,-3.9090909090909065,-1.5090909090909008,-10.75,-0.75
6556,624,2022-04-17,42100141,Final,1610612756,1610612740,2021,1610612756,110.0,0.538,0.762,0.357,25.0,35.0,1610612740,99.0,0.379,0.692,0.391,20.0,55.0,1,19,3,-9.166666666666657,1.3787878787878896,-11.0,-0.25
6555,625,2022-04-16,42100171,Final,1610612742,1610612762,2021,1610612742,93.0,0.382,0.765,0.281,17.0,34.0,1610612762,99.0,0.434,0.87,0.318,15.0,53.0,0,5,25,-4.764705882352942,-0.514705882352942,8.400000000000006,-2.8499999999999943
6554,626,2022-04-16,42100151,Final,1610612763,1610612750,2021,1610612763,117.0,0.453,0.744,0.259,25.0,35.0,1610612750,130.0,0.5,0.889,0.39,32.0,46.0,0,26,13,7.818181818181813,0.6181818181818102,-2.4000000000000057,1.3499999999999943
6553,627,2022-04-16,42100131,Final,1610612755,1610612761,2021,1610612755,131.0,0.512,0.853,0.5,29.0,39.0,1610612761,111.0,0.488,0.826,0.4,27.0,35.0,1,18,24,-3.6363636363636402,0.5636363636363626,6.400000000000006,3.6500000000000057
6552,628,2022-04-16,42100161,Final,1610612744,1610612743,2021,1610612744,123.0,0.524,0.724,0.457,33.0,41.0,1610612743,107.0,0.462,0.769,0.314,26.0,35.0,1,7,6,9.42857142857143,-0.12142857142856656,2.0,-8.0
6551,629,2022-04-15,52100201,Final,1610612739,1610612737,2021,1610612739,101.0,0.457,0.824,0.361,23.0,36.0,1610612737,107.0,0.488,0.909,0.29,15.0,42.0,0,2,0,0.0,0.0,-2.799999999999997,-2.799999999999997
6550,630,2022-04-15,52100211,Final,1610612746,1610612740,2021,1610612746,101.0,0.412,0.647,0.25,20.0,45.0,1610612740,105.0,0.489,0.52,0.273,20.0,54.0,0,9,3,0.0,0.0,-10.5,0.5
6549,631,2022-04-13,52100111,Final,1610612737,1610612766,2021,1610612737,132.0,0.521,0.72,0.5,31.0,54.0,1610612766,103.0,0.378,0.759,0.317,22.0,41.0,1,0,29,-1.3333333333333286,1.4666666666666686,0.0,0.0
6548,632,2022-04-13,52100131,Final,1610612740,1610612759,2021,1610612740,113.0,0.543,0.739,0.4,25.0,53.0,1610612759,103.0,0.407,0.727,0.382,19.0,34.0,1,3,22,-8.0,2.5,0.0,0.0
