,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,Mejores_FGM_Home,Mejores_FG3M_Home,Mejores_AST_Home,Mejores_REB_Home,Mejores_STL_Home,Mejores_FGM_Away,Mejores_FG3M_Away,Mejores_AST_Away,Mejores_REB_Away,Mejores_STL_Away,Basket_Average_Home,Dif_Home,Puntos_Home,Puntos_Encestados_Home,Victorias_Home,Derrotas_Home,Basket_Average_Away,Dif_Away,Puntos_Away,Puntos_Encestados_Away,Victorias_Away,Derrotas_Away
455,455,2022-10-21,22200022,Final,1610612748,1610612738,2022,1610612748,104.0,0.457,0.8,0.308,23.0,36.0,1610612738,111.0,0.519,1.0,0.424,17.0,43.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.5,-2.8999999999999915,10.0,112.83333333333333,4.0,2.0,10.0,-0.25,8.0,125.0,3.0,2.0
454,454,2022-10-21,22200021,Final,1610612751,1610612761,2022,1610612751,109.0,0.475,0.69,0.371,26.0,44.0,1610612761,105.0,0.488,0.667,0.393,25.0,41.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-10.0,-3.0,7.0,103.0,2.0,3.0,1.8333333333333428,0.2333333333333485,10.0,113.66666666666667,4.0,2.0
453,453,2022-10-21,22200020,Final,1610612737,1610612753,2022,1610612737,108.0,0.449,0.938,0.419,26.0,46.0,1610612753,98.0,0.413,0.8,0.235,16.0,44.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.799999999999997,1.7999999999999972,8.0,113.6,3.0,2.0,0.3333333333333286,-0.8666666666666742,10.0,106.83333333333333,4.0,2.0
452,452,2022-10-21,22200019,Final,1610612764,1610612741,2022,1610612764,102.0,0.513,0.909,0.385,26.0,39.0,1610612741,100.0,0.418,0.818,0.259,19.0,38.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.5999999999999943,2.6500000000000057,7.0,100.2,2.0,3.0,12.399999999999991,-1.1000000000000085,9.0,122.8,4.0,1.0
451,451,2022-10-21,22200018,Final,1610612754,1610612759,2022,1610612754,134.0,0.49,0.955,0.314,32.0,42.0,1610612759,137.0,0.543,0.727,0.548,34.0,37.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000057,-1.8499999999999943,7.0,113.2,2.0,3.0,-13.5,-2.700000000000003,7.0,102.83333333333333,1.0,5.0
450,450,2022-10-21,22200017,Final,1610612766,1610612740,2022,1610612766,112.0,0.454,0.786,0.382,30.0,37.0,1610612740,124.0,0.472,0.865,0.364,23.0,53.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.333333333333343,7.466666666666654,7.0,103.83333333333333,1.0,5.0,6.333333333333343,3.13333333333334,11.0,116.66666666666667,5.0,1.0
449,449,2022-10-22,22200036,Final,1610612758,1610612746,2022,1610612758,109.0,0.471,0.577,0.4,24.0,39.0,1610612746,111.0,0.506,0.909,0.409,24.0,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.60000000000001,-6.8999999999999915,9.0,115.4,4.0,1.0,-0.5,2.1666666666666714,6.0,109.25,2.0,2.0
448,448,2022-10-22,22200035,Final,1610612743,1610612760,2022,1610612743,122.0,0.494,0.581,0.526,33.0,46.0,1610612760,117.0,0.447,0.783,0.395,29.0,47.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5714285714285836,1.4285714285714164,11.0,113.71428571428571,4.0,3.0,4.799999999999997,-2.950000000000003,8.0,109.8,3.0,2.0
447,447,2022-10-22,22200034,Final,1610612742,1610612763,2022,1610612742,137.0,0.5,0.833,0.436,23.0,52.0,1610612763,96.0,0.43,0.792,0.273,20.0,29.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.25,-1.4166666666666714,6.0,105.75,2.0,2.0,5.0,0.3333333333333286,12.0,114.14285714285714,5.0,2.0
446,446,2022-10-22,22200033,Final,1610612749,1610612745,2022,1610612749,125.0,0.565,0.619,0.516,29.0,47.0,1610612745,105.0,0.387,0.773,0.432,20.0,47.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-9.166666666666671,2.2333333333333343,7.0,102.5,1.0,5.0,6.166666666666671,-2.6333333333333258,9.0,118.5,3.0,3.0
